Dataset	NexprotID	EnsmbleID	GeneName	uPE1	PE_level	Chr	DB	Ontology	Description	
CCLE	NX_Q5TAA0	ENSG00000006555	TTC22	True	PE1	1	Gene Ontology	GO:0010631	epithelial cell migration
CCLE	NX_Q5TAA0	ENSG00000006555	TTC22	True	PE1	1	Gene Ontology	GO:0010632	regulation of epithelial cell migration
CCLE	NX_Q5TAA0	ENSG00000006555	TTC22	True	PE1	1	Gene Ontology	GO:0010634	positive regulation of epithelial cell migration
CCLE	NX_Q5TAA0	ENSG00000006555	TTC22	True	PE1	1	Gene Ontology	GO:0010669	epithelial structure maintenance
CCLE	NX_Q5TAA0	ENSG00000006555	TTC22	True	PE1	1	Gene Ontology	GO:0010745	negative regulation of macrophage derived foam cell differentiation
CCLE	NX_Q5TAA0	ENSG00000006555	TTC22	True	PE1	1	Gene Ontology	GO:0010771	negative regulation of cell morphogenesis involved in differentiation
CCLE	NX_Q5TAA0	ENSG00000006555	TTC22	True	PE1	1	Gene Ontology	GO:0010837	regulation of keratinocyte proliferation
CCLE	NX_Q5TAA0	ENSG00000006555	TTC22	True	PE1	1	Gene Ontology	GO:0010839	negative regulation of keratinocyte proliferation
CCLE	NX_Q5TAA0	ENSG00000006555	TTC22	True	PE1	1	Gene Ontology	GO:0010883	regulation of lipid storage
CCLE	NX_Q5TAA0	ENSG00000006555	TTC22	True	PE1	1	Gene Ontology	GO:0010888	negative regulation of lipid storage
CCLE	NX_Q5TAA0	ENSG00000006555	TTC22	True	PE1	1	Gene Ontology	GO:0015718	monocarboxylic acid transport
CCLE	NX_Q5TAA0	ENSG00000006555	TTC22	True	PE1	1	Gene Ontology	GO:0015721	bile acid and bile salt transport
CCLE	NX_Q5TAA0	ENSG00000006555	TTC22	True	PE1	1	Gene Ontology	GO:0015840	urea transport
CCLE	NX_Q5TAA0	ENSG00000006555	TTC22	True	PE1	1	Gene Ontology	GO:0015893	drug transport
CCLE	NX_Q5TAA0	ENSG00000006555	TTC22	True	PE1	1	Gene Ontology	GO:0016024	CDP-diacylglycerol biosynthetic process
CCLE	NX_Q5TAA0	ENSG00000006555	TTC22	True	PE1	1	Gene Ontology	GO:0016101	diterpenoid metabolic process
CCLE	NX_Q5TAA0	ENSG00000006555	TTC22	True	PE1	1	Gene Ontology	GO:0016137	glycoside metabolic process
CCLE	NX_Q5TAA0	ENSG00000006555	TTC22	True	PE1	1	Gene Ontology	GO:0016266	O-glycan processing
CCLE	NX_Q5TAA0	ENSG00000006555	TTC22	True	PE1	1	Gene Ontology	GO:0016337	cell-cell adhesion
CCLE	NX_Q5TAA0	ENSG00000006555	TTC22	True	PE1	1	Gene Ontology	GO:0016338	calcium-independent cell-cell adhesion via plasma membrane cell-adhesion molecules
CCLE	NX_Q5TAA0	ENSG00000006555	TTC22	True	PE1	1	Gene Ontology	GO:0016477	cell migration
CCLE	NX_Q5TAA0	ENSG00000006555	TTC22	True	PE1	1	Gene Ontology	GO:0016540	protein autoprocessing
CCLE	NX_Q5TAA0	ENSG00000006555	TTC22	True	PE1	1	Gene Ontology	GO:0017144	drug metabolic process
CCLE	NX_Q5TAA0	ENSG00000006555	TTC22	True	PE1	1	Gene Ontology	GO:0018108	peptidyl-tyrosine phosphorylation
CCLE	NX_Q5TAA0	ENSG00000006555	TTC22	True	PE1	1	Gene Ontology	GO:0018149	peptide cross-linking
CCLE	NX_Q5TAA0	ENSG00000006555	TTC22	True	PE1	1	Gene Ontology	GO:0018212	peptidyl-tyrosine modification
CCLE	NX_Q5TAA0	ENSG00000006555	TTC22	True	PE1	1	Gene Ontology	GO:0018345	protein palmitoylation
CCLE	NX_Q5TAA0	ENSG00000006555	TTC22	True	PE1	1	Gene Ontology	GO:0019317	fucose catabolic process
CCLE	NX_Q5TAA0	ENSG00000006555	TTC22	True	PE1	1	Gene Ontology	GO:0019369	arachidonic acid metabolic process
CCLE	NX_Q5TAA0	ENSG00000006555	TTC22	True	PE1	1	Gene Ontology	GO:0019370	leukotriene biosynthetic process
CCLE	NX_Q5TAA0	ENSG00000006555	TTC22	True	PE1	1	Gene Ontology	GO:0019372	lipoxygenase pathway
CCLE	NX_Q5TAA0	ENSG00000006555	TTC22	True	PE1	1	Gene Ontology	GO:0019373	epoxygenase P450 pathway
CCLE	NX_Q5TAA0	ENSG00000006555	TTC22	True	PE1	1	Gene Ontology	GO:0019432	triglyceride biosynthetic process
CCLE	NX_Q5TAA0	ENSG00000006555	TTC22	True	PE1	1	Gene Ontology	GO:0019585	glucuronate metabolic process
CCLE	NX_Q5TAA0	ENSG00000006555	TTC22	True	PE1	1	Gene Ontology	GO:0021532	neural tube patterning
CCLE	NX_Q5TAA0	ENSG00000006555	TTC22	True	PE1	1	Gene Ontology	GO:0021533	cell differentiation in hindbrain
CCLE	NX_Q5TAA0	ENSG00000006555	TTC22	True	PE1	1	Gene Ontology	GO:0021692	cerebellar Purkinje cell layer morphogenesis
CCLE	NX_Q5TAA0	ENSG00000006555	TTC22	True	PE1	1	Gene Ontology	GO:0021696	cerebellar cortex morphogenesis
CCLE	NX_Q5TAA0	ENSG00000006555	TTC22	True	PE1	1	Gene Ontology	GO:0021700	developmental maturation
