ENSG	NextprotID	GeneName	gene_id	gene_type	Chr	start	end	ProteinEvidence	PE	Missing	strand	unknown_function
ENSG00000000003	NX_O43657	TSPAN6	ENSG00000000003.14	protein_coding	X	100627109	100639991	protein	PE1	0	-	0
ENSG00000000005	NX_Q9H2S6	TNMD	ENSG00000000005.5	protein_coding	X	100584802	100599885	protein	PE1	0	+	0
ENSG00000000419	NX_O60762	DPM1	ENSG00000000419.12	protein_coding	20	50934867	50958555	protein	PE1	0	-	0
ENSG00000000457	NX_Q8IZE3	SCYL3	ENSG00000000457.13	protein_coding	1	169849631	169894267	protein	PE1	0	-	0
ENSG00000000460	NX_Q9NSG2	C1orf112	ENSG00000000460.16	protein_coding	1	169662007	169854080	protein	PE1	0	+	1
ENSG00000000938	NX_P09769	FGR	ENSG00000000938.12	protein_coding	1	27612064	27635277	protein	PE1	0	-	0
ENSG00000000971	NX_P08603	CFH	ENSG00000000971.15	protein_coding	1	196651878	196747504	protein	PE1	0	+	0
ENSG00000001036	NX_Q9BTY2	FUCA2	ENSG00000001036.13	protein_coding	6	143494811	143511690	protein	PE1	0	-	0
ENSG00000001084	NX_P48506	GCLC	ENSG00000001084.11	protein_coding	6	53497341	53616970	protein	PE1	0	-	0
ENSG00000001167	NX_P23511	NFYA	ENSG00000001167.14	protein_coding	6	41072945	41099976	protein	PE1	0	+	0
ENSG00000001460	NX_Q5TH74	STPG1	ENSG00000001460.17	protein_coding	1	24356999	24416934	protein	PE1	0	-	0
ENSG00000001461	NX_Q6P499	NIPAL3	ENSG00000001461.16	protein_coding	1	24415794	24472976	protein	PE1	0	+	0
ENSG00000001497	NX_Q9Y4W2	LAS1L	ENSG00000001497.16	protein_coding	X	65512582	65534775	protein	PE1	0	-	0
ENSG00000001561	NX_Q9Y6X5	ENPP4	ENSG00000001561.6	protein_coding	6	46129993	46146699	protein	PE1	0	+	0
ENSG00000001617	NX_Q13275	SEMA3F	ENSG00000001617.11	protein_coding	3	50155045	50189075	protein	PE1	0	+	0
